source,url,title,body,guideline_codes,rejection_type,upvotes,num_comments,scraped_at
hacker_news,https://testflight.apple.com/join/eTKmdWCU,"Show HN: ShortGuard – Apple rejected my app for blocking Shorts, so here it is","I’ve been struggling with YouTube Shorts addiction. The issue with current iOS tools like Screen Time is that they are too blunt—they block the entire YouTube app, not just the &quot;Shorts&quot; feature. I wanted to keep using YouTube for educational content and long-form videos while completely stripping away the addictive Shorts feed.<p>To solve this, I built ShortGuard.<p>Technical Implementation<p>Since Apple doesn&#x27;t provide a &quot;Shorts-only&quot; blocking API, I had to implement a local filtering layer. ShortGuard uses the NEVPNManager API and a local Root Certificate to intercept and filter specific network requests.<p>100% Local: All traffic filtering happens strictly on-device. No user data is ever collected or transmitted to external servers.<p>Granular Control: It identifies and drops requests to specific endpoints that serve YouTube Shorts.<p>Current Behavior: Due to how the initial YouTube payload is structured, you might still see the very first Shorts video in the feed. However, ShortGuard successfully blocks the &quot;infinite scroll&quot; mechanism, preventing you from falling into the scrolling rabbit hole.<p>The Apple Rejection<p>After months of development, Apple rejected ShortGuard under Guideline 2.5.1, stating that using a VPN profile or root certificate to block content in third-party apps is &quot;not appropriate.&quot;<p>I pointed out a clear double standard: pro-level tools like Proxyman are permitted to use this exact technical architecture to intercept and block traffic. Why is this technical approach considered &quot;appropriate&quot; for a developer utility but &quot;inappropriate&quot; for a user&#x27;s digital well-being tool?<p>Apple maintained their stance and rejected my final appeal.<p>Free Release via TestFlight<p>I believe users should have the right to control their own network traffic to protect their focus. Since Apple won&#x27;t allow a formal App Store release, I’m making ShortGuard available for free via TestFligh",['2.5.1'],Design,2,3,2026-03-04T22:55:51.334266
hacker_news,https://apps.apple.com/us/app/photocraft-ai-photo-editor/id6756682393,Show HN: PhotoCraft – an AI photo editor I built and shipped as my first iOS app,"Hi HN,<p>I’m an indie developer and I recently shipped my first iOS app, PhotoCraft. It’s an AI-powered photo editor focused on enhancement, avatars, and creative edits.<p>This project started mainly as a way for me to learn how to take an idea all the way from development to passing App Store review and shipping something real. The hardest parts for me weren’t the models or the UI, but scope control, onboarding decisions, and dealing with review feedback.<p>A few things I learned along the way:<p>“Good enough to ship” is harder to define than expected<p>App Store rejections are more about clarity and UX than code<p>Cutting features early saved me a lot of time later<p>I’m sharing this mostly to get feedback from people who’ve built and shipped products before. I’d especially appreciate thoughts on:<p>First-time user experience<p>Whether the feature set feels focused or bloated<p>Monetization flow (what feels fair vs frustrating)<p>Happy to answer any questions about the build, tooling, or App Store review process.<p>Thanks for taking a look.<p>— Deva",[],Design,2,4,2026-03-04T22:55:51.334368
hacker_news,https://www.squair.app/,"Show HN: Squair – Breathing app I built after Googling ""anxiety relief"" at 2am","I built Squair because my phone was giving me anxiety - and it was also the only thing in my pocket when anxiety hit.<p>The problem: 4 cups of coffee just to focus. Then the anxiety kicks in. Chest tight. Racing thoughts. Scrolling reels to &quot;calm down&quot; made it worse.<p>I Googled &quot;anxiety relief&quot; at 2am and found box breathing — same technique Navy SEALs use in combat. First time I tried it, I felt the difference within 2 minutes. No crash. No pills. Just breathing.<p>So I built an app around it.<p>6 months. Solo dev with a full-time job. 112 builds. 2 App Store rejections. Finally live.<p>What it does:<p>- Zen Button — One tap, instant guided breathing when panic hits
- Box Breathing — 4-4-4-4 pattern (inhale, hold, exhale, hold)
- 4-7-8 Breathing — For falling asleep faster
- Works offline, no account required<p>Try it: <a href=""https:&#x2F;&#x2F;squair.app"" rel=""nofollow"">https:&#x2F;&#x2F;squair.app</a><p>iOS: <a href=""https:&#x2F;&#x2F;apps.apple.com&#x2F;us&#x2F;app&#x2F;squair-breathe-focus&#x2F;id6753581297"">https:&#x2F;&#x2F;apps.apple.com&#x2F;us&#x2F;app&#x2F;squair-breathe-focus&#x2F;id6753581...</a><p>Would love feedback. What do you do when you need to calm down fast?",[],Technical,2,0,2026-03-04T22:55:51.334425
hacker_news,https://tryrubberduck.com/,Show HN: Catch App Store rejection issues before Apple does,"Hi everyone! I&#x27;m the maker of Rubber Duck. After shipping iOS apps, I realized how unpredictable App Store review can be.<p>Even great apps get rejected for: missing metadata, small UI issues, broken flows on certain iPhone models, forgotten privacy entries, one-off crashes Apple found and many more.<p>Each rejection set the launch back days. So I built Rubber Duck to be the “review before the review.” It combines automated checks with human testers using real iPhones like an App Store reviewer, but faster and kinder.",[],Technical,1,4,2026-03-04T22:55:51.334450
hacker_news,https://app.appscreenshotkit.com/editor,Show HN: App Screenshot Kit – App Store screenshots from raw images,"What it does<p>App Screenshot Kit converts raw ios screenshots into ios App Store compliant image sets. It removes the usual workflow of importing into a design tool, placing into device frames, resizing for every requirement, and fixing pixel mismatches.<p>Why I built it<p>I kept running into App Store rejections caused by single-pixel errors after exporting from Figma. I also noticed frequent posts from developers dealing with the same issue, especially around maintaining consistent sizes across devices. It felt like a simple formatting task that had become too dependent on design software.<p>I wanted a way to go directly from raw screenshots to final exported sets without opening a design tool.<p>How it works<p>Upload iOS screenshots (PNG&#x2F;JPEG)<p>Pick a device frame<p>Add optional headline text<p>Export all required sizes in one batch<p>No account required<p>Demo
Video walkthrough: <a href=""https:&#x2F;&#x2F;youtu.be&#x2F;UnkHflYzwak?si=_WcF9ykskRyLH8Sb"" rel=""nofollow"">https:&#x2F;&#x2F;youtu.be&#x2F;UnkHflYzwak?si=_WcF9ykskRyLH8Sb</a><p>Live editor: <a href=""https:&#x2F;&#x2F;app.appscreenshotkit.com&#x2F;editor"" rel=""nofollow"">https:&#x2F;&#x2F;app.appscreenshotkit.com&#x2F;editor</a><p>What’s different<p>Most screenshot tools either require account creation, rely heavily on template editors, or depend on a Figma&#x2F;Canva workflow. This tool tries to handle the entire formatting process directly from the browser with minimal steps.<p>Looking for feedback<p>Any device frames or formats that should be added?<p>Does the export flow cover the sizes you typically need?<p>Are there pain points in your own App Store screenshot process that this should solve?<p>Would support for Google Play be useful?<p>Happy to answer technical questions.<p>Cheers",[],Metadata,1,1,2026-03-04T22:55:51.334535
hacker_news,https://news.ycombinator.com/item?id=45927422,Tell HN: Dentist banned from WhatsApp without appeal,"I&#x27;ve been developing https:&#x2F;&#x2F;www.dododentist.com for the past year.
DodoDentist is a dental clinic management software.
I&#x27;ve spent weeks trying to add the Whatsapp reminders like:
&quot;Hi {{recipient_name}}, your dentist appointment is {{appointment_details}}. Thank you&quot;<p>My ID has been rejected more than 20 times at Business verification. All sorts of dumb errors like &quot;You haven&#x27;t provided a valid ID&quot; &quot;Your ID name doesn&#x27;t match&quot; &quot;Your ID must have a dark background&quot;.
My ID has been accepted literally by dozens of banks and websites before Whatsapp decided to rejected it 20 times in dozens of versions.<p>After weeks of implementing Meta Cloud API integration,
today my whole Whatsapp account has been banned after sending literally 3 message of that template. No reason has been provided except it doesn&#x27;t comply with Whatsapp Policy (which of course is long pages).<p>If you know someone from Whatsapp Business verification team or you can help me please write at admin AT dododentist DOT com<p>If you are also in the same situation please reach out.
I&#x27;m considering legal action.
The Google Play Store and App Store were successfully sued when they did not provide motivation for rejection and I&#x27;m considering doing the same.",[],Other,7,3,2026-03-04T22:55:51.334596
hacker_news,https://apps.apple.com/us/app/esse-ai-video-summarizer/id6751778111,Show HN: I built a 3-tap YouTube summarizer for iOS,"How it works:
Copy a YouTube link → open app → it auto-detects from clipboard, pulls metadata + transcript, and generates a structured summary (key points + narrative) in seconds. No inputs, no pasting, no prompting. Supports 60+ languages for summaries, the video&#x27;s language doesn&#x27;t matter.<p>Why I built:<p>I had an endless queue of educational videos but no time to sit through rambling or clickbait. ChatGPT flow = copy → open → paste → prompt → pray it formats correctly. Existing summarizers felt feature-bloated or unreliable. I wanted something super minimalist: “clipboard → value” on repeat.<p>Decisions:<p>Stack — React Native 0.81 (New Arch) + TypeScript<p>Clipboard trick<p>— Monitors clipboard on app start&#x2F;resume — no manual paste<p>Caching<p>— Stores transcripts + summaries in AsyncStorage with metadata<p>— fast image library prevents repetitive refetching<p>APIs<p>— YouTube metadata<p>— Third-party transcript provider (exploring Whisper)<p>— OpenAI for summarization<p>Output<p>— Structured prompts → consistent format across 60+ languages<p>— Easter egg: philosophical analysis for songs&#x2F;poems<p>Time-saved calculation<p>— Uses actual video length (30% of cases)<p>— Fallback = estimated from average speech speed<p>Main headache:<p>Grandfathering legacy users without breaking App Review was harder than I expected. The first version was paid upfront ($14.99 or leave). Got some sales in the first two weeks, then traffic died. After some internal fighting, I switched to free-to-try with IAP. By then I already had thousands of users I’d promised free access forever, plus a dozen who actually paid. I wanted to keep my word and never show them a paywall.<p>RevenueCat’s originalAppVersion looked perfect… until I actually used it.. Turns out it’s not the marketing version (1.0, 2.3), but the build number (the variable name originalAppVersion is so misleading…). And Apple Review&#x2F;TestFlight always report it as 1.0, so reviewers looked like legacy u",[],Metadata,1,0,2026-03-04T22:55:51.334730
hacker_news,https://iosprecheck.com/,Show HN: iOSPreCheck – Scan Native iOS Apps for Compliance Before Submission,"I built a tool that analyzes iOS .ipa files for common App Store rejection reasons before you submit. You get a compliance report in ~30 seconds instead of waiting 1-3 days for Apple&#x27;s review.<p>Live: <a href=""https:&#x2F;&#x2F;iosprecheck.com&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;iosprecheck.com&#x2F;</a>
What it costs: $2.99&#x2F;scan (pay-per-use, no subscription - subscription with API for CI&#x2F;CD integration coming soon)<p>Would love the feedback<p>What It Checks<p>Technical validation:
Private API detection (binary analysis)
Info.plist validation (30+ required keys, bundle ID format, version strings)
Privacy permissions (NSUsageDescription keys, description quality)
Asset compliance (app icons, launch screens)
Architecture validation (ARM64)<p>AI-powered analysis:
Metadata review (trademark violations, keyword stuffing, misleading claims)<p>Output:
Compliance score (0-100)
Critical issues (will cause rejection)
Warnings (best practices)
List of 15-20 passed checks (so you know it&#x27;s comprehensive)",[],Privacy,2,0,2026-03-04T22:55:51.334781
hacker_news,https://apps.apple.com/us/app/esse-ai-video-summarizer/id6751778111,"Show HN: I made a clipboard-triggered YouTube summarizer (no paste, 2 taps)","How it works:<p>Copy a YouTube link → open app → it auto-detects from clipboard, pulls metadata + transcript, and generates a structured summary (key points + narrative) in seconds. No inputs, no pasting, no prompting. Supports 60+ languages for summaries, the video&#x27;s language doesn&#x27;t matter.<p>Why I built:<p>I had an endless queue of educational videos but no time to sit through rambling or clickbait. ChatGPT flow = copy → open → paste → prompt → pray it formats correctly. Existing summarizers felt feature-bloated or unreliable. I wanted something super minimalist: “clipboard → value” on repeat.<p>Decisions:<p>Stack
 — React Native 0.81 (New Arch) + TypeScript<p>Clipboard trick<p>— Monitors clipboard on app start&#x2F;resume — no manual paste<p>Caching<p>— Stores transcripts + summaries in AsyncStorage with metadata<p>— fast image library prevents repetitive refetching<p>APIs<p>— YouTube metadata<p>— Third-party transcript provider (exploring Whisper)<p>— OpenAI for summarization<p>Output<p>— Structured prompts → consistent format across 60+ languages<p>— Easter egg: philosophical analysis for songs&#x2F;poems<p>Time-saved calculation<p>— Uses actual video length (30% of cases)<p>— Fallback = estimated from average speech speed<p>Main headache:<p>Grandfathering legacy users without breaking App Review was harder than I expected. The first version was paid upfront ($14.99 or leave). Got some sales in the first two weeks, then traffic died. After some internal fighting, I switched to free-to-try with IAP. By then I already had thousands of users I’d promised free access forever, plus a dozen who actually paid. I wanted to keep my word and never show them a paywall.<p>RevenueCat’s originalAppVersion looked perfect… until I actually used it.. Turns out it’s not the marketing version (1.0, 2.3), but the build number (the variable name originalAppVersion is so misleading…). And Apple Review&#x2F;TestFlight always report it as 1.0, so reviewers looked like legac",[],Metadata,2,1,2026-03-04T22:55:51.334921
hacker_news,https://apps.apple.com/us/app/pinmapper/id6752612645,"Show HN: Vibe coding an iOS app from idea to release, here is what I learn","Just release this app using Vibe Coding, it took me 2 weeks from idea to release in store, 1 week for building, 1 week to fix 3 apple review rejections. Here is what I learn:<p>1, I didn&#x27;t write single line of code, Cursor+Xcode handle 90% of the work, but I still need to fix some weird issues and bugs myself.<p>2, You don&#x27;t need revenueCat or Adapty for in app purchase, apple&#x27;s new store kit2 handle all the cases including server side receipt validation, I didn&#x27;t even use cocoapods which make things faster<p>3, Your main role is product manager that test each new features AI added, so remember to use many git push and branches to save work<p>4, Building the app is easy now, but the harder part is marketing and how to grow it into real business, which I am still learning<p>5, I got the app name from AI, even the main ICON is generated by AI, but I did spent $240 on upwork for App Store marketing design<p>6, sometime the cursor can&#x27;t fix a compiler issue, I copy paste the code to chatgpt for 2nd opinion which is working.<p>Here is the app link, feel free to check out:
<a href=""https:&#x2F;&#x2F;apps.apple.com&#x2F;us&#x2F;app&#x2F;pinmapper&#x2F;id6752612645"">https:&#x2F;&#x2F;apps.apple.com&#x2F;us&#x2F;app&#x2F;pinmapper&#x2F;id6752612645</a>",[],Technical,1,4,2026-03-04T22:55:51.334949
